Date,Account,Agent,Xposition,Yposition
20231022,FatherSun,astra,823,1121
20231022,FatherSun,breach,944,1119
20231022,FatherSun,brimstone,1056,1118
20231022,FatherSun,chamber,1166,1120
20231022,FatherSun,cypher,1271,1110
20231022,FatherSun,deadlock,1399,1122
20231022,FatherSun,fade,1510,1119
20231022,FatherSun,gekko,1614,1109
20231022,FatherSun,habor,1725,1123
20231022,FatherSun,jett,837,1226
20231022,FatherSun,kayo,942,1239
20231022,FatherSun,killjoy,1050,1237
20231022,FatherSun,neon,1165,1222
20231022,FatherSun,omen,1277,1231
20231022,FatherSun,phoenix,1383,1233
20231022,FatherSun,raze,1506,1240
20231022,FatherSun,reyna,1614,1232
20231022,FatherSun,sage,1712,1230
20231022,FatherSun,skye,818,1333
20231022,FatherSun,sova,943,1353
20231022,FatherSun,viper,1065,1339
20231022,FatherSun,yoru,1158,1336
20231022,LaVanTor,astra,823,1121
20231022,LaVanTor,breach,944,1119
20231022,LaVanTor,brimstone,1056,1118
20231022,LaVanTor,chamber,1166,1120
20231022,LaVanTor,cypher,1271,1110
20231022,LaVanTor,fade,1398,1119
20231022,LaVanTor,gekko,1503,1109
20231022,LaVanTor,habor,1613,1123
20231022,LaVanTor,jett,1732,1114
20231022,LaVanTor,kayo,830,1239
20231022,LaVanTor,killjoy,938,1237
20231022,LaVanTor,neon,1053,1222
20231022,LaVanTor,omen,1165,1231
20231022,LaVanTor,phoenix,1271,1233
20231022,LaVanTor,raze,1394,1240
20231022,LaVanTor,reyna,1502,1232
20231022,LaVanTor,sage,1600,1230
20231022,LaVanTor,skye,1713,1221
20231022,LaVanTor,sova,831,1353
20231022,LaVanTor,viper,953,1339
20231022,LaVanTor,yoru,1046,1336
20231022,speakEngInVal,breach,832,1119
20231022,speakEngInVal,brimstone,944,1118
20231022,speakEngInVal,chamber,1054,1120
20231022,speakEngInVal,deadlock,1175,1122
20231022,speakEngInVal,gekko,1279,1109
20231022,speakEngInVal,habor,1390,1123
20231022,speakEngInVal,jett,1509,1114
20231022,speakEngInVal,kayo,1613,1127
20231022,speakEngInVal,killjoy,1721,1125
20231022,speakEngInVal,neon,830,1222
20231022,speakEngInVal,omen,941,1231
20231022,speakEngInVal,phoenix,1047,1233
20231022,speakEngInVal,raze,1170,1240
20231022,speakEngInVal,reyna,1278,1232
20231022,speakEngInVal,sage,1376,1230
20231022,speakEngInVal,skye,1489,1221
20231022,speakEngInVal,sova,1614,1241
20231022,speakEngInVal,viper,1736,1227
20231022,speakEngInVal,yoru,823,1336
20231022,xav1er,brimstone,832,1118
20231022,xav1er,chamber,942,1120
20231022,xav1er,jett,1061,1114
20231022,xav1er,phoenix,1159,1121
20231022,xav1er,sage,1264,1118
20231022,xav1er,sova,1391,1129
20231022,oOoOoOo,breach,832,1119
20231022,oOoOoOo,brimstone,944,1118
20231022,oOoOoOo,chamber,1054,1120
20231022,oOoOoOo,jett,1173,1114
20231022,oOoOoOo,kayo,1277,1126
20231022,oOoOoOo,omen,1389,1119
20231022,oOoOoOo,phoenix,1495,1121
20231022,oOoOoOo,raze,1619,1127
20231022,oOoOoOo,reyna,1726,1120
20231022,oOoOoOo,sage,817,1230
20231022,oOoOoOo,sova,943,1241
20231022,Dear Curi,brimstone,832,1118
20231022,Dear Curi,jett,949,1114
20231022,Dear Curi,kayo,1053,1126
20231022,Dear Curi,omen,1165,1119
20231022,Dear Curi,phoenix,1271,1121
20231022,Dear Curi,sage,1376,1118
20231022,Dear Curi,sova,1503,1129
