Date,Account,Agent,Xposition,Yposition
20230314,FatherSun,astra,710,1233
20230314,FatherSun,breach,831,1232
20230314,FatherSun,brimstone,944,1230
20230314,FatherSun,chamber,1057,1233
20230314,FatherSun,cypher,1163,1226
20230314,FatherSun,fade,1285,1238
20230314,FatherSun,gekko,1386,1235
20230314,FatherSun,habor,1501,1231
20230314,FatherSun,jett,1627,1231
20230314,FatherSun,kayo,1721,1237
20230314,FatherSun,killjoy,1836,1239
20230314,FatherSun,neon,720,1332
20230314,FatherSun,omen,830,1343
20230314,FatherSun,phoenix,935,1343
20230314,FatherSun,raze,1058,1352
20230314,FatherSun,reyna,1170,1345
20230314,FatherSun,sage,1279,1341
20230314,FatherSun,skye,1383,1336
20230314,FatherSun,sova,1502,1353
20230314,FatherSun,viper,1622,1341
20230314,FatherSun,yoru,1722,1347
20230514,LaVanTor,astra,710,1233
20230514,LaVanTor,breach,831,1232
20230514,LaVanTor,brimstone,944,1230
20230514,LaVanTor,chamber,1057,1233
20230514,LaVanTor,cypher,1163,1226
20230514,LaVanTor,fade,1285,1238
20230514,LaVanTor,gekko,1391,1221
20230514,LaVanTor,habor,1501,1231
20230514,LaVanTor,jett,1627,1231
20230514,LaVanTor,kayo,1721,1237
20230514,LaVanTor,killjoy,1836,1239
20230514,LaVanTor,neon,720,1332
20230514,LaVanTor,omen,830,1343
20230514,LaVanTor,phoenix,935,1343
20230514,LaVanTor,raze,1058,1352
20230514,LaVanTor,reyna,1170,1345
20230514,LaVanTor,sage,1279,1341
20230514,LaVanTor,skye,1383,1336
20230514,LaVanTor,sova,1502,1353
20230514,LaVanTor,viper,1622,1341
20230514,LaVanTor,yoru,1722,1347
20230601,speakEngInVal,breach,720,1231
20230601,speakEngInVal,brimstone,833,1229
20230601,speakEngInVal,chamber,942,1232
20230601,speakEngInVal,habor,1054,1234
20230601,speakEngInVal,jett,1172,1226
20230601,speakEngInVal,kayo,1276,1237
20230601,speakEngInVal,neon,1389,1222
20230601,speakEngInVal,omen,1502,1230
20230601,speakEngInVal,phoenix,1608,1233
20230601,speakEngInVal,raze,1730,1239
20230601,speakEngInVal,reyna,1838,1231
20230601,speakEngInVal,sage,717,1337
20230601,speakEngInVal,skye,820,1333
20230601,speakEngInVal,sova,943,1353
20230601,speakEngInVal,viper,1064,1339
20230601,speakEngInVal,yoru,1160,1339
20230603,oOoOoOo,breach,720,1231
20230603,oOoOoOo,brimstone,833,1229
20230603,oOoOoOo,jett,949,1226
20230603,oOoOoOo,omen,1054,1230
20230603,oOoOoOo,phoenix,1160,1233
20230603,oOoOoOo,raze,1283,1239
20230603,oOoOoOo,reyna,1390,1231
20230603,oOoOoOo,sage,1501,1225
20230603,oOoOoOo,sova,1614,1241
20230604,Dear Curi,brimstone,721,1229
20230604,Dear Curi,jett,837,1226
20230604,Dear Curi,kayo,941,1237
20230604,Dear Curi,omen,1054,1230
20230604,Dear Curi,phoenix,1160,1233
20230604,Dear Curi,sage,1268,1228
20230604,Dear Curi,sova,1390,1241
