Date,Account,Agent,Xposition,Yposition
20230314,FatherSun,astra,710,1233
20230314,FatherSun,breach,831,1232
20230314,FatherSun,brimstone,944,1230
20230314,FatherSun,chamber,1057,1233
20230314,FatherSun,cypher,1163,1226
20230314,FatherSun,fade,1285,1238
20230314,FatherSun,gekko,1386,1235
20230314,FatherSun,habor,1501,1231
20230314,FatherSun,jett,1627,1231
20230314,FatherSun,kayo,1721,1237
20230314,FatherSun,killjoy,1836,1239
20230314,FatherSun,neon,720,1332
20230314,FatherSun,omen,830,1343
20230314,FatherSun,phoenix,935,1343
20230314,FatherSun,raze,1058,1352
20230314,FatherSun,reyna,1170,1345
20230314,FatherSun,sage,1279,1341
20230314,FatherSun,skye,1383,1336
20230314,FatherSun,sova,1502,1353
20230314,FatherSun,viper,1622,1341
20230314,FatherSun,yoru,1722,1347
20230316,LaVanTor,astra,710,1233
20230316,LaVanTor,breach,831,1232
20230316,LaVanTor,brimstone,944,1230
20230316,LaVanTor,chamber,1057,1233
20230316,LaVanTor,cypher,1163,1226
20230316,LaVanTor,fade,1285,1238
20230316,LaVanTor,habor,1389,1231
20230316,LaVanTor,jett,1517,1230
20230316,LaVanTor,kayo,1609,1237 
20230316,LaVanTor,killjoy,1724,1239
20230316,LaVanTor,neon,1839,1220
20230316,LaVanTor,omen,718,1343
20230316,LaVanTor,phoenix,823,1343
20230316,LaVanTor,raze,946,1352
20230316,LaVanTor,reyna,1058,1345
20230316,LaVanTor,sage,1167,1341
20230316,LaVanTor,skye,1271,1336
20230316,LaVanTor,sova,1390,1353
20230316,LaVanTor,viper,1511,1341
20230316,LaVanTor,yoru,1610,1347
20230404,speakEngInVal,breach,719,1232
20230404,speakEngInVal,brimstone,832,1230
20230404,speakEngInVal,chamber,945,1233
20230404,speakEngInVal,habor,1053,1231
20230404,speakEngInVal,jett,1181,1230
20230404,speakEngInVal,kayo,1273,1237
20230404,speakEngInVal,neon,1391,1220
20230404,speakEngInVal,omen,1501,1231
20230404,speakEngInVal,phoenix,1606,1231
20230404,speakEngInVal,reyna,1729,1233
20230404,speakEngInVal,sage,1837,1230
20230404,speakEngInVal,skye,712,1336
20230404,speakEngInVal,sova,831,1353
20230404,speakEngInVal,viper,951,1341
20230404,speakEngInVal,yoru,1050,1347
